comp402 4 0,4
comp437 0 0
comp413 0,11 0,2,11,13
comp1 2 2
comp15 1,2 1,2
comp6 1 1
comp43 0 0
comp10 1 1
comp62 2 2
comp147 2 2
comp488 0,2 0,2
comp70 1 1,3
comp77 8 8
comp32 0 0
comp25 0 0
comp99 2 2
comp103 3 3
comp108 0,2 0,2
comp197 0 0
comp472 3 3
comp471 6 0,6
comp418 7 7
comp35 6 6
comp470 8 8
comp423 6 6
comp353 8 8
comp377 0,2,5 0,2,5
comp335 6 6
comp325 6 6
comp320 7 7
comp301 6 6
comp189 8 8
comp462 6 6
comp480 8 8
comp482 5 5
comp439 6 6
