comp101  c1cnc(Nc2cccc(c2)Br)[nH]c1=O  0
comp102  [nH]1c(=O)ccnc1c1c(ccc(c1)Cl)OC  3
comp103  n1c(=O)cc([nH]c1)C  3
comp104  [nH]1cnc(cc1=O)N  4
comp105  n1ccc(=O)[nH]c1  2
comp106  N(c1nccc(=O)[nH]1)c1ccc(C(=O)O)cc1  4
comp107  n1c(c(ncc1N)c1ccccc1)c1cn(c(=O)cc1)C(C)C  4
comp108  c1ncc(nc1)N  0
comp109  n1c(cnc(c1)c1cncc(c1)C#N)NCC1N(CCC1)CC(=O)OC(C)(C)C  2
comp111  c1(cn2c(c(n1)Br)ncc2)Br  9
comp112  c1c(n2c(c(n1)Cl)ncc2)C  9
comp113  c1(nc2n(c(n1)CCC)ncc2)C  11
comp114  c1c2nc(nc(n2nc1)N(CC)CC)SC  0
comp115  c1(nc2n(c(c1)c1ccccc1)nc(c2)c1ccccc1)C  14
comp116  c1nn2c(cc1c1ncccc1C(F)(F)F)nnc2  18
comp117  n1c(nc(n2c1ccn2)NC)C  6
comp119  c1c(ccc(c1)c1occ(n1)c1cnc(cc1)C(C)(C)O)F  8
comp122  c1ccc2c(c1)c(c[nH]2)c1cnco1  10
comp124  c1conc1CNc1c(ncc(c1)F)C(=O)OCC  10
comp125  n1(c(cnc1)c1cccnc1)C  2
comp126  n1(c(cnc1)c1ccc(OC)cc1)C  2
comp127  c1c(ccc(c2n(Cc3ccccc3)cnc2)c1)OC  16
comp128  c1(cccnc1C(=O)OCC)NC1COC1  3
comp129  c1ncc(cc1)N1CCOCC1  0
comp130  c1ccc(cn1)O  0
comp131  c1cc(c2cncc(n2)N)oc1  4
comp132  c1c(occ1)c1c(c2ccncc2)ncc(N)n1  14
comp133  c1cc(c2c(ncc(n2)N)c2ccncc2)cnc1  6
comp134  c1c2c(ccc1)oc(c1nccnc1N)n2  10
comp135  n1c(cnc(c2cncnc2)c1)NCC1N(CCC1)CC(=O)OC(C)(C)C  2
comp137 c1ncc(n1c1ccc(cc1)Cl)c1c(cc(cc1F)F)F 2,0
comp141 o1c(cc(n1)c1c(cc(cc1)F)F)c1ccccc1 2
comp143 c1(c(cc2n(c1)cnn2)CO[Si](C(C)(C)C)(C)C)C1CC1 6
comp147 n1nc[nH]c1c1cnccn1 2
comp149 n1nc[nH]c1c1c(c(c(s1)c1ccnc(c1)NC(=O)C)C#N)c1ccc(cc1Cl)Cl 2
comp150 c1cn2c(c(c1N1CCC(CC1)c1ccccc1)C#N)nnc2 22
comp154 c1cn(c(n1)C)C 1,0
comp155 c1cn(c(n1)Br)C 1,0
comp156 c1cn(c(n1)SC)C 1
comp157 c1cn(c(n1)C=O)C 0
comp158 c1cn(cn1)Cc1ccccc1 1,0
comp159 c1cn(c(n1)C1CC1)C 1,0
comp160 c1cn(c(n1)N(=O)=O)C 0
comp161 c1cn(c(n1)C(=O)C)C 1
comp162 c1cn(c(n1)C)CCOC 1
comp163 c1cn(cn1)C(c1ccccc1)(c1ccccc1Cl)c1ccccc1 0
comp164 c1cn2c(n1)[C@H]([C@H]([C@@H]([C@H]2OCc1ccccc1)OCc1ccccc1)OCc1ccccc1)OCc1ccccc1 0,1
comp165 c1cn(c(n1)c1ccncc1)C 1
comp166 c1cn(c(n1)c1ccc(cc1)OC)C 1
comp168 c1cn(c(n1)c1ccccn1)c1ccc(cc1)OC 1,0
comp169 c1cn(c(n1)C)c1cc(=O)n(nc1)C 1,0
comp170 c1cn(c(n1)C#Cc1ccn2c(c1)ncc2)CCO[Si](C(C)(C)C)(C)C 15
comp171 c1cnc(n1c1cccc(c1)C=O)c1c(cc(c(c1)Cl)OCc1ccccc1)OCc1ccccc1 0
comp172 c1(ccc2n(c1)ccn2)c1cc(c(nc1)OC)NS(=O)(=O)c1ccc(cc1F)F 6
comp173 c1cn2c(n1)N(C(=O)[C@]2(Cc1ccc(cc1)c1cncnc1)C)c1cc(cc(c1)Cl)Cl 1
comp174 n1c(c(c(nc1)N[C@H](c1c(cn2c(c1)ncc2)c1ccccn1)C)C#N)N 16
comp175 n1c(cc2n(c1c1cn(nc1)C(CC#N)C1CC1)ccn2)c1cnn(c1)C 18
comp176 c1(cc(c2n(c1)ccn2)NC(=O)C)c1sc(cc1)Cl 6
comp177 c1c(cc2n(c1c1cccc3n1c(cn3)N(=O)=O)ccn2)NC(=O)C 18
comp178 c1(cc(c2n(c1)ccn2)C(F)(F)F)c1cnc(nc1)OC 6
comp179 c1(cc(c2n(c1)ccn2)C(F)(F)F)c1ccc(nc1)OC 6
comp180 c1(cc(c2n(c1)ccn2)C(F)(F)F)c1ccc(n(=O)c1)C(F)(F)F 6
comp181 c1[nH]c(=O)c2n(c1c1ccc(cc1)OC)ccn2 15
comp182 c1(ccc2n(c1)ccn2)c1cccnc1N1CCOCC1 6
comp184 c1cc(c2n(c1)ccn2)OCc1ccccc1 6
comp186 n1c(cn2c(c1SC)ncc2)Br 10
comp187 c1(ccn2c(c1)ncc2)c1sccn1 8
comp188 c1(ccn2c(c1)ncc2)c1ncccn1 8
comp189 c1(ccn2c(c1)ncc2)c1ccsc1 8
comp190 c1(ccccc1)c1ncc(=O)[nH]c1 8
comp192 N1(c2ncc(nc2)C(=O)OC)CC(C1)(F)F 6
comp193 c1nc(c(nc1)N)C(=O)OC 0
comp194 c1nc(c(nc1)N)C(=O)N[C@@H](C)c1cc(c(cc1)F)F 0
comp195 Nc1ncc(nc1)c1ccc(cc1)O[Si](C)(C)C(C)(C)C 6
comp196 Nc1ncc(nc1)c1ccc(cc1)S(=O)(=O)C 6
comp197 c1nc(c(=O)[nH]c1)C 0
comp198 c1ncc2c(c1)oc(n2)c1c(nccn1)N 13
comp199 c1cnc(c(n1)N1CCN(CC1)C(=O)OC(C)(C)C)Oc1ccc(cc1)OC 1
comp200 Nc1ncc(nc1)c1ccc(cc1)OC 6
comp201 n1c(cnc(c1)c1cncnc1)NCC1N(CCC1)C(=O)OC(C)(C)C 2
comp202 c1ncc(nc1N)c1cccnc1 2
comp203 c1(cncc(n1)N1C[C@H](N(CC1)C(=O)OC(C)(C)C)C)OC 1
comp204 c1nc(c(=O)[nH]c1)Cc1ccccc1 0
comp205 O=C(C)C(C=C1)=CC=C1C(N=C2)=CN=C2[N-][N+]3=CC=CC=C3 11
comp206 c1cnc(c(n1)c1nncn1c1cccc(c1F)F)N 0
comp207 c1cc(cc(c1OC)c1cnc(cn1)N)C(C)C 12,
comp209 COC(C=C1)=CC=C1C(N=C2)=CN=C2[N-][N+]3=CC=CC=C3 10,
comp211 c1ncc(nc1N)OC 2,0,
comp212 c1ncc(nc1N)Cl 2,0,
