comp32 c1cc(nnc1N)Cl
comp33 c1cccc(c1C(F)(F)F)c1nnc(cc1)N
comp34 c1c(nnc(c1)c1cn(nc1)C1CCN(CC1)C(=O)OC(C)(C)C)N
